epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,85.9276,0.91166,0.61005,1.02379,0.96947,0.9866,0.9938,0.75783,0.87194,0.59284,0.99925,0.00979705,0.00979705,0.00979705
43,87.9038,0.89711,0.61967,1.0263,0.9838,0.98535,0.99058,0.7455,0.87753,0.52081,1.0183,0.0097921,0.0097921,0.0097921
44,89.9611,0.87283,0.58952,1.01934,0.99298,0.98753,0.99128,0.77762,0.81149,0.4978,0.99127,0.00978715,0.00978715,0.00978715
45,91.8903,0.91033,0.60408,1.03054,0.97826,0.96899,0.98845,0.7479,0.89942,0.63046,1.02076,0.0097822,0.0097822,0.0097822
46,93.9605,0.91704,0.59299,1.035,0.97974,0.9849,0.99017,0.78227,0.82928,0.55096,0.96935,0.00977725,0.00977725,0.00977725
47,95.9902,0.92423,0.58682,1.03309,0.98438,0.99271,0.99051,0.77784,0.84073,0.50828,0.99292,0.0097723,0.0097723,0.0097723
48,98.1063,0.89981,0.59878,1.02672,0.9946,0.99594,0.99493,0.78251,0.82847,0.45036,0.98564,0.00976735,0.00976735,0.00976735
49,100.243,0.87315,0.57926,1.01548,0.98881,0.99369,0.99316,0.77085,0.82436,0.47752,0.98027,0.0097624,0.0097624,0.0097624
50,102.32,0.87119,0.55693,1.02031,0.95964,0.97158,0.99297,0.77844,0.84573,0.53501,0.97684,0.00975745,0.00975745,0.00975745
51,104.402,0.88485,0.56003,1.01431,0.90251,0.89971,0.97208,0.74068,0.87235,1.09561,0.99668,0.0097525,0.0097525,0.0097525
52,106.365,0.87494,0.57531,1.00586,0.99422,0.98922,0.9947,0.76836,0.8369,0.50312,0.96349,0.00974755,0.00974755,0.00974755
53,108.379,0.86987,0.56696,1.00902,0.9704,0.97356,0.99055,0.77218,0.82127,0.53242,0.96383,0.0097426,0.0097426,0.0097426
54,110.417,0.87271,0.55844,1.01131,0.99203,0.97986,0.99452,0.76512,0.84868,0.48585,0.97946,0.00973765,0.00973765,0.00973765
55,112.434,0.8831,0.55475,1.01239,0.98904,0.99023,0.98931,0.7429,0.91387,0.48289,0.99657,0.0097327,0.0097327,0.0097327
56,114.473,0.87596,0.56579,1.01671,0.97242,0.96643,0.98969,0.76845,0.86001,0.5149,0.97975,0.00972775,0.00972775,0.00972775
57,116.483,0.8835,0.55957,1.01832,0.98896,0.99316,0.99225,0.77733,0.8355,0.43616,0.98056,0.0097228,0.0097228,0.0097228
58,118.595,0.87272,0.53997,1.01335,0.99159,0.99316,0.99449,0.78824,0.80481,0.43817,0.97364,0.00971785,0.00971785,0.00971785
59,120.59,0.8692,0.54504,1.01958,0.98512,0.99036,0.99402,0.78403,0.81129,0.43862,0.97079,0.0097129,0.0097129,0.0097129
60,122.6,0.8847,0.55197,1.02308,0.97248,0.98664,0.9893,0.78846,0.80488,0.45415,0.97433,0.00970795,0.00970795,0.00970795
61,124.586,0.86869,0.55496,1.01582,0.99319,0.99235,0.99093,0.77375,0.83238,0.45279,0.97982,0.009703,0.009703,0.009703
62,126.618,0.87074,0.56619,1.02332,0.98867,0.98946,0.99299,0.7669,0.86746,0.43556,0.99358,0.00969805,0.00969805,0.00969805
63,128.568,0.84774,0.53992,1.00675,0.98828,0.99157,0.99186,0.78387,0.80687,0.41982,0.96514,0.0096931,0.0096931,0.0096931
64,130.619,0.86817,0.54379,1.00899,0.98721,0.98905,0.99131,0.7887,0.79181,0.42458,0.9593,0.00968815,0.00968815,0.00968815
