epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33722,1.8064,3.88442,1.50717,0.00676,0.80908,0.01444,0.00683,1.58094,3.59907,1.25935,0.0008,0.0008,0.0008
2,6.17539,1.49619,3.72859,1.3011,0.0079,0.90842,0.0402,0.02669,1.1014,3.56346,1.05933,0.00169916,0.00169916,0.00169916
3,7.72764,1.31994,3.25702,1.17706,0.00884,0.99365,0.12409,0.09206,1.0397,3.29919,0.98054,0.00259743,0.00259743,0.00259743
4,9.53367,1.30403,2.23897,1.1614,0.30111,0.10156,0.55004,0.37724,1.09468,2.76076,0.99197,0.0034948,0.0034948,0.0034948
5,11.4211,1.24944,1.62804,1.1367,0.01914,0.98315,0.55476,0.38885,1.0756,2.99594,1.00507,0.00439129,0.00439129,0.00439129
6,13.1873,1.19824,1.34502,1.11603,0.02617,0.94387,0.48329,0.35277,1.16528,3.06757,1.06676,0.00528688,0.00528688,0.00528688
7,14.9111,1.20633,1.20884,1.12697,0.01782,0.94074,0.41054,0.27499,1.25692,3.19134,1.14028,0.00618159,0.00618159,0.00618159
8,16.6424,1.16077,1.09753,1.11277,0.01521,0.93805,0.47923,0.31756,1.19133,3.09242,1.12705,0.0070754,0.0070754,0.0070754
9,18.5491,1.16164,1.03266,1.09281,1,0.03375,0.34903,0.2067,1.28522,3.39439,1.24828,0.00796832,0.00796832,0.00796832
10,20.2609,1.14082,0.99603,1.09975,0.99228,0.27539,0.86861,0.58505,1.21126,2.44612,1.07132,0.00886035,0.00886035,0.00886035
11,22.0284,1.18483,0.98504,1.09972,1,0.30755,0.92673,0.63068,1.1583,2.26768,1.068,0.00975149,0.00975149,0.00975149
12,23.7529,1.17047,0.9659,1.09363,0.97552,0.80961,0.98169,0.7221,0.94839,1.59273,0.9808,0.00994555,0.00994555,0.00994555
13,25.3328,1.1447,0.91585,1.09993,0.98336,0.80785,0.97161,0.69555,0.99192,1.56707,1.00448,0.0099406,0.0099406,0.0099406
14,26.8048,1.11876,0.89129,1.06828,0.96635,0.94563,0.98883,0.7206,0.99596,1.10205,1.02618,0.00993565,0.00993565,0.00993565
15,28.3945,1.12087,0.89079,1.07788,0.9824,0.97516,0.99287,0.71086,1.00087,0.85901,1.04246,0.0099307,0.0099307,0.0099307
16,30.0575,1.09718,0.86215,1.0798,0.96602,0.97013,0.99036,0.71367,1.0015,0.83136,1.02882,0.00992575,0.00992575,0.00992575
