epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,111.861,0.90419,0.55599,1.0551,0.97923,0.98156,0.9886,0.78288,0.78844,0.4639,0.95937,0.0013565,0.0013565,0.0013565
43,114.225,0.89518,0.55803,1.04983,0.9886,0.97912,0.98893,0.7585,0.89726,0.46709,0.9991,0.00135473,0.00135473,0.00135473
44,116.577,0.86732,0.52849,1.02418,0.98707,0.98256,0.99118,0.77272,0.82577,0.51682,0.98317,0.00135296,0.00135296,0.00135296
45,118.967,0.86652,0.55252,1.03215,0.95339,0.89394,0.9835,0.75643,0.86743,0.68496,0.99708,0.00135119,0.00135119,0.00135119
46,121.287,0.89374,0.54726,1.04887,0.8935,0.86787,0.9455,0.7299,0.85008,0.87416,0.99774,0.00134942,0.00134942,0.00134942
47,123.63,0.89585,0.53374,1.04875,0.98417,0.9801,0.99241,0.77668,0.81577,0.44996,0.97554,0.00134765,0.00134765,0.00134765
48,125.966,0.86832,0.54424,1.03534,0.97742,0.96905,0.98999,0.76756,0.84038,0.46626,0.98364,0.00134589,0.00134589,0.00134589
49,128.324,0.87002,0.52505,1.03037,0.97813,0.97371,0.99357,0.76019,0.87322,0.46721,0.96904,0.00134412,0.00134412,0.00134412
50,130.62,0.86367,0.5294,1.03733,0.97963,0.94352,0.98704,0.77498,0.8196,0.47216,0.96679,0.00134235,0.00134235,0.00134235
51,132.899,0.87069,0.51993,1.03027,0.86358,0.9528,0.96274,0.7498,0.84816,0.78472,0.98037,0.00134058,0.00134058,0.00134058
52,135.175,0.86386,0.52166,1.01995,0.97535,0.97119,0.98762,0.75686,0.863,0.50972,0.98171,0.00133881,0.00133881,0.00133881
53,137.455,0.85484,0.51633,1.01954,0.95838,0.95659,0.98972,0.77393,0.8476,0.49976,0.97132,0.00133704,0.00133704,0.00133704
54,139.753,0.87344,0.51076,1.03325,0.9703,0.99235,0.99379,0.78505,0.81968,0.43386,0.96323,0.00133528,0.00133528,0.00133528
55,141.964,0.84361,0.49813,1.01813,0.98732,0.99258,0.99463,0.77517,0.86698,0.41143,0.99746,0.00133351,0.00133351,0.00133351
56,144.268,0.87429,0.51714,1.03869,0.96125,0.97717,0.981,0.75964,0.83223,0.54166,0.99794,0.00133174,0.00133174,0.00133174
57,146.613,0.85512,0.51568,1.02816,0.98287,0.98159,0.99462,0.7546,0.86307,0.43544,1.00357,0.00132997,0.00132997,0.00132997
58,149.067,0.86865,0.51532,1.02692,0.98891,0.98659,0.99222,0.75779,0.84896,0.43479,1.00824,0.0013282,0.0013282,0.0013282
59,151.389,0.85131,0.50519,1.0363,0.97242,0.96003,0.99103,0.77294,0.82917,0.45283,0.99357,0.00132643,0.00132643,0.00132643
60,153.863,0.85526,0.50734,1.02635,0.9746,0.97079,0.99252,0.78086,0.81098,0.5032,0.97891,0.00132467,0.00132467,0.00132467
61,156.269,0.83833,0.51851,1.02387,0.97904,0.99066,0.99324,0.77559,0.83858,0.43566,0.98047,0.0013229,0.0013229,0.0013229
62,158.838,0.85598,0.53278,1.03309,0.98751,0.97497,0.99192,0.75815,0.87259,0.44274,0.98946,0.00132113,0.00132113,0.00132113
63,161.256,0.83965,0.49488,1.01072,0.97409,0.98231,0.98769,0.76976,0.82462,0.46098,0.97615,0.00131936,0.00131936,0.00131936
64,163.597,0.8405,0.50159,1.01543,0.97087,0.98654,0.99353,0.78643,0.78267,0.51331,0.95544,0.00131759,0.00131759,0.00131759
65,165.919,0.84868,0.48827,1.0142,0.99053,0.98316,0.99194,0.78266,0.78994,0.41305,0.95366,0.00131582,0.00131582,0.00131582
66,168.203,0.84932,0.49367,1.01209,0.99687,0.99643,0.995,0.7965,0.78341,0.39931,0.94569,0.00131405,0.00131405,0.00131405
67,170.442,0.83876,0.49011,1.00453,0.99521,0.99173,0.99494,0.77386,0.85581,0.41485,0.9778,0.00131229,0.00131229,0.00131229
68,172.867,0.84457,0.49032,1.01638,0.97999,0.98307,0.99005,0.77508,0.83321,0.42669,0.97126,0.00131052,0.00131052,0.00131052
69,175.078,0.83216,0.48174,1.01145,0.99646,0.98719,0.99483,0.80143,0.79003,0.40345,0.95958,0.00130875,0.00130875,0.00130875
70,177.433,0.82133,0.47336,1.00688,0.98476,0.96855,0.99141,0.79228,0.80281,0.44195,0.98153,0.00130698,0.00130698,0.00130698
71,179.942,0.84578,0.49739,1.02523,0.988,0.97331,0.99152,0.78406,0.82003,0.43603,0.98016,0.00130521,0.00130521,0.00130521
72,182.357,0.82735,0.47402,1.02253,0.97592,0.98125,0.99172,0.7793,0.83769,0.4497,0.98746,0.00130344,0.00130344,0.00130344
73,184.608,0.84123,0.48295,1.01972,0.98862,0.99165,0.99299,0.7885,0.78628,0.40796,0.97057,0.00130168,0.00130168,0.00130168
74,187.005,0.83968,0.47939,1.01362,0.95338,0.95473,0.98597,0.77011,0.83261,0.55152,1.00233,0.00129991,0.00129991,0.00129991
75,189.343,0.86142,0.47743,1.02885,0.98869,0.98384,0.99409,0.78386,0.83864,0.46533,0.9986,0.00129814,0.00129814,0.00129814
76,191.623,0.82918,0.47041,1.00695,0.99463,0.99267,0.99164,0.79692,0.78994,0.37776,0.97254,0.00129637,0.00129637,0.00129637
77,193.899,0.82839,0.46685,1.01429,0.99382,0.99599,0.99018,0.78952,0.79368,0.38437,0.95364,0.0012946,0.0012946,0.0012946
78,196.227,0.8045,0.45228,0.99893,0.98436,0.99634,0.99366,0.79715,0.78487,0.37367,0.94789,0.00129283,0.00129283,0.00129283
79,198.477,0.80985,0.46387,1.01004,0.98452,0.98267,0.99394,0.79183,0.80722,0.39022,0.97762,0.00129107,0.00129107,0.00129107
80,200.716,0.81854,0.4659,1.01728,0.98991,0.99634,0.99255,0.80083,0.78395,0.37672,0.95929,0.0012893,0.0012893,0.0012893
81,202.936,0.81068,0.46394,1.02053,0.98766,0.99634,0.99179,0.80003,0.78571,0.38943,0.96668,0.00128753,0.00128753,0.00128753
82,205.185,0.80959,0.46723,1.01095,0.99152,0.99021,0.99479,0.79252,0.80378,0.37954,0.97091,0.00128576,0.00128576,0.00128576
83,207.356,0.81008,0.45783,1.00323,0.99697,0.99794,0.995,0.79591,0.78911,0.37715,0.95226,0.00128399,0.00128399,0.00128399
84,209.582,0.80412,0.45731,1.00885,0.99463,0.99316,0.99496,0.79888,0.7889,0.46405,0.96221,0.00128222,0.00128222,0.00128222
85,212.105,0.81528,0.46054,1.01577,0.98344,0.99634,0.98738,0.79484,0.77245,0.40334,0.96357,0.00128046,0.00128046,0.00128046
86,214.501,0.83339,0.47531,1.03218,0.99496,0.98681,0.99453,0.79215,0.79805,0.39216,0.96787,0.00127869,0.00127869,0.00127869
87,216.754,0.81057,0.46228,1.01076,0.99704,0.99316,0.99496,0.79548,0.79097,0.42811,0.96652,0.00127692,0.00127692,0.00127692
88,219.137,0.80936,0.46536,0.99816,0.99177,0.99332,0.99493,0.79861,0.78393,0.38268,0.97115,0.00127515,0.00127515,0.00127515
89,221.421,0.81982,0.46645,1.00743,0.98819,0.99634,0.99476,0.80246,0.78386,0.38007,0.9622,0.00127338,0.00127338,0.00127338
90,223.812,0.82628,0.45734,1.01074,0.99502,0.99048,0.99475,0.80127,0.77387,0.3838,0.9564,0.00127161,0.00127161,0.00127161
91,226.162,0.78191,0.44405,1.00606,0.97951,0.98975,0.99445,0.81099,0.74798,0.38622,0.93916,0.00126985,0.00126985,0.00126985
92,228.498,0.80065,0.45167,1.00646,0.98206,0.98668,0.99181,0.80127,0.75611,0.38427,0.95549,0.00126808,0.00126808,0.00126808
93,230.956,0.80484,0.44434,1.01054,0.98168,0.98225,0.99439,0.80837,0.74706,0.3653,0.94818,0.00126631,0.00126631,0.00126631
94,233.32,0.78697,0.43636,1.00603,0.99348,0.98493,0.9949,0.80498,0.7598,0.36796,0.95513,0.00126454,0.00126454,0.00126454
95,235.561,0.78281,0.44192,0.99939,0.99126,0.98266,0.99377,0.80162,0.75785,0.38068,0.94853,0.00126277,0.00126277,0.00126277
96,237.875,0.78255,0.44432,0.99167,0.99631,0.98905,0.99241,0.79456,0.77777,0.36223,0.96159,0.001261,0.001261,0.001261
97,240.203,0.81054,0.45534,1.00619,0.99258,0.99533,0.98953,0.78947,0.81288,0.36678,0.97867,0.00125923,0.00125923,0.00125923
98,242.539,0.78693,0.44374,1.00495,0.99247,0.99316,0.99025,0.7896,0.80658,0.36811,0.97391,0.00125747,0.00125747,0.00125747
99,244.792,0.78961,0.45286,1.00761,0.99747,0.99244,0.99496,0.80383,0.77579,0.37503,0.95783,0.0012557,0.0012557,0.0012557
100,247.212,0.76487,0.4337,0.98801,0.99625,0.99482,0.99319,0.80476,0.75683,0.36936,0.94551,0.00125393,0.00125393,0.00125393
101,249.488,0.77582,0.45138,1.00291,0.98775,0.99827,0.9949,0.79603,0.7961,0.36165,0.96529,0.00125216,0.00125216,0.00125216
102,251.793,0.7791,0.43616,0.99338,0.99141,0.98999,0.994,0.7952,0.78689,0.36641,0.9645,0.00125039,0.00125039,0.00125039
103,254.136,0.76889,0.43387,0.99087,0.98941,0.99039,0.99225,0.8063,0.75132,0.36762,0.94879,0.00124862,0.00124862,0.00124862
104,256.431,0.79855,0.44506,1.00278,0.9847,0.99794,0.99489,0.80655,0.75512,0.35667,0.95313,0.00124686,0.00124686,0.00124686
105,258.73,0.78404,0.43123,0.99975,0.99162,0.99316,0.99489,0.80764,0.73832,0.34989,0.94197,0.00124509,0.00124509,0.00124509
106,261.008,0.75432,0.41428,0.98324,0.99559,0.99462,0.99489,0.80645,0.77392,0.35838,0.95298,0.00124332,0.00124332,0.00124332
107,263.284,0.77858,0.4397,0.99214,0.99068,0.99634,0.99479,0.79832,0.78562,0.41828,0.95974,0.00124155,0.00124155,0.00124155
108,265.636,0.78157,0.42944,1.00695,0.9917,0.99495,0.99149,0.79847,0.75647,0.36368,0.94935,0.00123978,0.00123978,0.00123978
109,267.938,0.77623,0.42132,0.98809,0.98985,0.9943,0.99331,0.80357,0.78451,0.35409,0.95753,0.00123801,0.00123801,0.00123801
110,270.216,0.75563,0.4305,0.97995,0.99446,0.99336,0.99278,0.8105,0.75796,0.35313,0.94946,0.00123625,0.00123625,0.00123625
111,272.551,0.76264,0.42405,0.99567,0.99423,0.99502,0.9942,0.7953,0.80781,0.36848,0.9685,0.00123448,0.00123448,0.00123448
112,274.854,0.78689,0.43204,1.00188,0.99604,0.99634,0.99493,0.80848,0.76998,0.3673,0.94581,0.00123271,0.00123271,0.00123271
113,277.218,0.76332,0.43107,0.97704,0.99248,0.99634,0.99464,0.81375,0.7493,0.34866,0.93522,0.00123094,0.00123094,0.00123094
114,279.53,0.76865,0.42625,0.9877,0.98829,0.99123,0.99008,0.80579,0.76053,0.34441,0.94806,0.00122917,0.00122917,0.00122917
115,281.771,0.78223,0.43266,1.0093,0.99511,0.99634,0.99065,0.81082,0.74078,0.35322,0.94799,0.0012274,0.0012274,0.0012274
116,284.092,0.74913,0.41693,0.97875,0.9958,0.99634,0.99064,0.80448,0.77062,0.34785,0.94843,0.00122564,0.00122564,0.00122564
117,286.425,0.7782,0.41439,0.99231,0.99507,0.99501,0.9943,0.80512,0.77755,0.35007,0.96142,0.00122387,0.00122387,0.00122387
118,288.712,0.77546,0.42841,0.99578,0.98971,0.98685,0.99471,0.79131,0.78652,0.36723,0.96383,0.0012221,0.0012221,0.0012221
119,291.088,0.75964,0.42738,1.00306,0.99829,0.99709,0.995,0.79254,0.78459,0.35267,0.96728,0.00122033,0.00122033,0.00122033
120,293.419,0.7639,0.42007,0.98821,0.99643,0.99316,0.99496,0.80732,0.75244,0.35626,0.95771,0.00121856,0.00121856,0.00121856
121,295.704,0.77043,0.43134,1.00431,0.99192,0.99316,0.99496,0.8125,0.73765,0.343,0.9442,0.00121679,0.00121679,0.00121679
122,298.067,0.76855,0.43018,0.98991,0.9962,0.99683,0.995,0.80241,0.75514,0.3618,0.9497,0.00121503,0.00121503,0.00121503
123,300.423,0.7788,0.42322,0.98025,0.99519,0.99683,0.995,0.80271,0.77932,0.35911,0.96214,0.00121326,0.00121326,0.00121326
124,302.852,0.78654,0.43806,0.99899,0.99915,0.99172,0.99468,0.7919,0.80842,0.37368,0.96688,0.00121149,0.00121149,0.00121149
125,305.282,0.75333,0.4236,0.98032,0.9899,0.98999,0.99086,0.79751,0.758,0.38172,0.94879,0.00120972,0.00120972,0.00120972
126,307.811,0.74302,0.41863,0.9795,0.98438,0.979,0.98998,0.80254,0.77048,0.39705,0.95223,0.00120795,0.00120795,0.00120795
127,310.089,0.75431,0.42526,0.99634,0.98602,0.98843,0.98707,0.79329,0.79622,0.49042,0.9551,0.00120618,0.00120618,0.00120618
128,312.367,0.77475,0.42385,0.99034,0.98031,0.97729,0.98031,0.79391,0.74885,0.43304,0.94713,0.00120441,0.00120441,0.00120441
129,314.606,0.77424,0.42022,0.9911,0.98497,0.97681,0.97869,0.80137,0.73979,0.38412,0.94181,0.00120265,0.00120265,0.00120265
130,316.861,0.75652,0.41684,0.98746,0.98073,0.97388,0.98605,0.80198,0.78537,0.37514,0.95895,0.00120088,0.00120088,0.00120088
131,319.071,0.75015,0.40504,0.98996,0.99056,0.98681,0.9919,0.80247,0.77076,0.3485,0.96294,0.00119911,0.00119911,0.00119911
132,321.361,0.75622,0.40798,0.97583,0.99413,0.9966,0.995,0.81826,0.75389,0.34031,0.96717,0.00119734,0.00119734,0.00119734
133,323.789,0.75635,0.41105,0.98558,0.99034,0.99059,0.99439,0.81668,0.75199,0.34763,0.95812,0.00119557,0.00119557,0.00119557
134,326.165,0.75295,0.40773,0.99332,0.99814,0.98918,0.99493,0.82114,0.75061,0.3362,0.95044,0.0011938,0.0011938,0.0011938
135,328.535,0.7524,0.41246,0.99782,0.98963,0.99185,0.99426,0.8081,0.75071,0.35262,0.94538,0.00119204,0.00119204,0.00119204
136,330.801,0.75399,0.42332,0.98497,0.99817,0.9966,0.995,0.81339,0.75437,0.33412,0.94596,0.00119027,0.00119027,0.00119027
137,333.049,0.76171,0.41408,0.99126,0.9968,0.99086,0.99482,0.80964,0.77985,0.34411,0.96727,0.0011885,0.0011885,0.0011885
138,335.378,0.75566,0.41227,0.983,0.98894,0.99634,0.99165,0.80688,0.77128,0.34177,0.96111,0.00118673,0.00118673,0.00118673
139,337.699,0.71948,0.39657,0.9709,0.9891,0.99316,0.99184,0.80988,0.74928,0.33649,0.95631,0.00118496,0.00118496,0.00118496
140,340.15,0.71765,0.39669,0.95998,0.96158,0.98654,0.98298,0.80423,0.76205,0.37157,0.96211,0.00118319,0.00118319,0.00118319
