epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,110.339,0.91348,0.62785,1.06525,0.94243,0.9484,0.99011,0.77233,0.83283,0.55122,1.00284,0.00979705,0.00979705,0.00979705
43,112.64,0.91189,0.62729,1.07272,0.9255,0.93434,0.98279,0.73797,0.92014,0.60681,1.05857,0.0097921,0.0097921,0.0097921
44,114.942,0.88285,0.59342,1.04497,0.93638,0.92527,0.9648,0.68351,0.97265,0.61508,1.11575,0.00978715,0.00978715,0.00978715
45,117.316,0.9198,0.62112,1.06409,0.90167,0.89397,0.94126,0.6096,1.24062,0.76765,1.28525,0.0097822,0.0097822,0.0097822
46,119.572,0.90882,0.59928,1.06114,0.95945,0.96027,0.98354,0.74386,0.90378,0.61239,1.05399,0.00977725,0.00977725,0.00977725
47,121.879,0.94313,0.59446,1.0653,0.97851,0.97873,0.993,0.77144,0.83844,0.47109,0.99701,0.0097723,0.0097723,0.0097723
48,124.258,0.89194,0.60229,1.04474,0.98438,0.97682,0.99339,0.78121,0.83962,0.49392,0.99611,0.00976735,0.00976735,0.00976735
49,126.52,0.88632,0.60085,1.04393,0.96158,0.97333,0.98603,0.76465,0.86583,0.51907,1.01829,0.0097624,0.0097624,0.0097624
50,128.775,0.8733,0.58173,1.05308,0.9755,0.98592,0.99125,0.76951,0.85523,0.52955,1.00719,0.00975745,0.00975745,0.00975745
51,131.087,0.89183,0.5662,1.04222,0.97811,0.97729,0.98813,0.75781,0.87272,0.51588,1.02317,0.0097525,0.0097525,0.0097525
52,133.356,0.87351,0.58197,1.03093,0.98311,0.98529,0.99419,0.75145,0.89231,0.49073,1.0346,0.00974755,0.00974755,0.00974755
53,135.622,0.86996,0.55842,1.03259,0.98903,0.99551,0.99215,0.75884,0.86592,0.47639,1.01167,0.0097426,0.0097426,0.0097426
54,137.797,0.88039,0.56311,1.03524,0.95681,0.94994,0.97752,0.69189,1.06217,0.64376,1.15552,0.00973765,0.00973765,0.00973765
55,139.99,0.87977,0.55078,1.03793,0.98287,0.98653,0.99096,0.74212,0.94451,0.51333,1.07903,0.0097327,0.0097327,0.0097327
56,142.146,0.87763,0.56622,1.04626,0.98578,0.98388,0.99378,0.78115,0.81917,0.47132,0.99832,0.00972775,0.00972775,0.00972775
57,144.313,0.87075,0.56561,1.03723,0.98659,0.9932,0.99458,0.77382,0.83754,0.49819,1.00258,0.0097228,0.0097228,0.0097228
58,146.59,0.87209,0.55822,1.03585,0.99432,0.99929,0.99494,0.78932,0.80229,0.4141,0.98491,0.00971785,0.00971785,0.00971785
