epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,111.105,0.90853,0.57418,1.05308,0.95477,0.96437,0.98715,0.77959,0.82328,0.50971,0.97184,0.001371,0.001371,0.001371
43,113.435,0.92002,0.56474,1.063,0.93518,0.95893,0.98836,0.75944,0.86609,0.52504,1.00417,0.00136958,0.00136958,0.00136958
44,115.76,0.86708,0.53556,1.02628,0.97069,0.97983,0.99112,0.75984,0.85851,0.495,0.9811,0.00136817,0.00136817,0.00136817
45,118.02,0.87901,0.55208,1.02661,0.97226,0.96781,0.99223,0.76616,0.85143,0.49395,0.96736,0.00136675,0.00136675,0.00136675
46,120.222,0.91454,0.54471,1.0455,0.97162,0.96935,0.99269,0.78778,0.82892,0.47056,0.97551,0.00136534,0.00136534,0.00136534
47,122.564,0.89403,0.52922,1.04245,0.9941,0.98396,0.99402,0.77922,0.83364,0.44869,0.96696,0.00136392,0.00136392,0.00136392
48,124.933,0.88704,0.54448,1.03335,0.96918,0.95244,0.98393,0.76212,0.85611,0.55967,0.99186,0.00136251,0.00136251,0.00136251
49,127.225,0.86842,0.53227,1.02924,0.97157,0.98047,0.98598,0.76042,0.88651,0.54214,0.99129,0.00136109,0.00136109,0.00136109
50,129.561,0.8718,0.53121,1.0368,0.96113,0.96073,0.97957,0.76529,0.82482,0.54419,0.98226,0.00135968,0.00135968,0.00135968
51,131.913,0.87103,0.51504,1.02817,0.8944,0.84998,0.90517,0.67105,0.93292,0.78421,1.0295,0.00135826,0.00135826,0.00135826
52,134.174,0.86108,0.52394,1.01301,0.9384,0.92938,0.97617,0.74974,0.85297,0.54859,0.98555,0.00135685,0.00135685,0.00135685
53,136.393,0.86085,0.50915,1.02269,0.97338,0.96427,0.98878,0.77482,0.82099,0.48367,0.95986,0.00135544,0.00135544,0.00135544
54,138.674,0.85586,0.50712,1.01842,0.97103,0.98255,0.98886,0.77637,0.83026,0.46365,0.97173,0.00135402,0.00135402,0.00135402
